matchid,bo,PlayerId,PlayerName,itemId,itemName
9691,1,3520,FPXXiaolaohu,3364,神谕透镜
9691,1,3641,FPXhaoye,3364,神谕透镜
9691,1,3547,FPXCare,3364,神谕透镜
9691,1,1266,FPXLwx,3363,远见改造
9691,1,2804,FPXLele,3364,神谕透镜
9691,1,2027,WEBiubiu,3364,神谕透镜
9691,1,3515,WEHeng,3364,神谕透镜
9691,1,3064,WEShanks,3363,远见改造
9691,1,1470,WEHope,3363,远见改造
9691,1,3006,WEIwandy,3364,神谕透镜
9691,2,2027,WEBiubiu,3363,远见改造
9691,2,3515,WEHeng,3364,神谕透镜
9691,2,3064,WEShanks,3364,神谕透镜
9691,2,1470,WEHope,3363,远见改造
9691,2,3006,WEIwandy,3364,神谕透镜
9691,2,3520,FPXXiaolaohu,3340,侦查守卫
9691,2,3641,FPXhaoye,3364,神谕透镜
9691,2,3547,FPXCare,3364,神谕透镜
9691,2,1266,FPXLwx,3363,远见改造
9691,2,2804,FPXLele,3364,神谕透镜
9691,3,3520,FPXXiaolaohu,3364,神谕透镜
9691,3,3641,FPXhaoye,3364,神谕透镜
9691,3,3547,FPXCare,3364,神谕透镜
9691,3,1266,FPXLwx,3363,远见改造
9691,3,2804,FPXLele,3364,神谕透镜
9691,3,2027,WEBiubiu,3340,侦查守卫
9691,3,3515,WEHeng,3364,神谕透镜
9691,3,3064,WEShanks,3364,神谕透镜
9691,3,1470,WEHope,3363,远见改造
9691,3,3006,WEIwandy,3364,神谕透镜
